"cas" "draha"
1.74388950900054 165
1.94298019602953 239
1.96139474395426 179
1.57859663957325 187
2.20307286258032 181
0.762935029396111 192
0.720143400729625 219
1.10383029829862 177
0.677310442550807 205
1.81991051086152 209
1.04007094630364 211
1.45273949836191 202
2.22817347197909 189
1.30258505124339 182
2.31690466211839 228
0.727158468387965 180
1.34861986632589 191
2.31875546496488 196
0.67606393763985 221
1.07849758040844 221
1.83090691779593 203
1.43003438496309 211
1.16389356749367 234
1.1206044840173 192
0.710952120130958 180
1.47682369470304 191
1.341311417473 195
1.01238928993564 207
1.05788102490833 184
1.03878522241206 200
0.56539438149328 180
0.975117216552141 205
2.01629757435774 197
1.22738252605179 237
1.45344821848415 168
0.901924981525004 237
1.58672959021697 183
1.32580218776861 231
0.988654053064071 238
1.66209672244979 210
1.54307195157251 195
1.46994218551904 215
2.17441858022704 188
1.45979447921439 177
0.58408881001775 183
1.55065811844699 207
1.71074361999965 186
0.681710059404547 217
1.79745667975865 192
1.18221307168754 224
2.2701413478346 195
1.86035773835693 195
2.86985190420907 214
1.03672652242685 164
1.33136137172887 195
2.08123797542276 192
1.63401059240784 196
2.30674781318582 186
1.68521460540359 198
1.85444932019289 173
1.19817218987451 158
1.32972710021227 214
2.30075112637006 223
1.82394193646336 218
1.81235343187682 189
1.60342449988207 233
1.95049759357108 199
0.826900269192198 229
1.31299683668298 246
1.75155732644317 206
2.00022601505761 214
0.282537489101256 176
1.69798125446422 213
1.49905419044816 222
2.14584287261817 208
0.619980212093407 189
0.220508542221037 238
0.77170351727678 189
1.14131239062407 178
1.39371750638722 212
2.21469152998099 186
1.49199035902898 194
1.5514654418591 188
2.03270753862454 167
0.661352211914902 200
1.25225263456189 212
1.6476393598935 192
1.38598664716161 202
1.31130710178169 186
1.55454306452066 204
1.04039181439604 171
1.78661378774844 243
1.39223883981871 204
1.56145779852958 203
1.58443407954631 201
0.942212730606332 253
1.26722891613547 217
2.70128897413693 206
1.92037755293017 202
2.11148297813233 206
