88.88888889	152
37.03703704	143
88.88888889	31
96.2962963	23
96.2962963	34
100	150
96.2962963	56
66.66666667	11
96.2962963	46
92.59259259	52
88.88888889	93
59.25925926	17
92.59259259	116
96.2962963	139
100	158
100	72
92.59259259	50
92.59259259	63
100	88
85.18518519	104
88.46153846	36
100	187
96.15384615	60
57.69230769	18
88.46153846	126
100	92
96.15384615	101
100	5
100	133
100	84
100	80
100	69
92.30769231	28
88.46153846	67
100	122
96.15384615	119
100	80
96.15384615	83
100	151
61.53846154	14
80.76923077	36
26.92307692	50
53.84615385	93
53.84615385	12
69.23076923	20
69.23076923	39
65.38461538	18
92.30769231	68
65.38461538	135
100	160
96.15384615	54
53.84615385	50
73.07692308	11
84.61538462	80
65.38461538	92
73.07692308	80
50	58
61.53846154	8
